abiotic stress	非生物的ストレス
abscisic acid	アブシシン酸
accession	系統
acclimation	順化
active tillering stage	分げつ盛期
adaptation	適応
aerial photography	航空写真
aerial roots	気根
aeroponics	空中栽培
agricultural cooperative	農業協同組合
agricultural economics	農業経済学
agricultural engineering	農業工学
agricultural extension	農業普及
agricultural labor	農業労働力
agricultural mechanization	農業機械化
agricultural policy	農業政策
agricultural productivity	農業生産性
agricultural robots	農業用ロボット
agricultural subsidy	農業補助金
agroecosystem	農業生態系
agroecosystem complexity	農業生態系の複雑性
agroecosystem management	農業生態系管理
agroforestry	アグロフォレストリー
agronomic traits	農業形質
ai-based crop improvement	AIベース作物改良
allelopathic interaction	アレロパシー相互作用
allelopathy	アレロパシー
alternate bearing	隔年結果
amylose content	アミロース含量
anther culture	葯培養
anthesis	開花期
antioxidant capacity	抗酸化能
antioxidant network	抗酸化ネットワーク
antioxidant system	抗酸化システム
apical dominance	頂芽優勢
apical meristem	頂端分裂組織
apomixis	無配生殖
appearance quality	外観品質
artificial intelligence	人工知能
artificial selection	人為選択
assimilate partitioning	同化産物分配
assimilate partitioning control	同化産物分配制御
assimilation rate	同化速度
auricle	葉耳
autogamy	自家受精
automated irrigation	自動灌漑
automated steering	自動操舵
autonomous vehicles	自動運転車両
auxin transport	オーキシン輸送
available water capacity	有効水分容量
awns	芒
axillary bud	腋芽
backcross	戻し交配
bacterial leaf blight	白葉枯病
bakanae disease	馬鹿苗病
basal application	基肥
base temperature	基準温度
beneficial microbe association	有益微生物共生
big data analytics	ビッグデータ分析
biodiversity	生物多様性
biofortification	生物学的栄養強化
biological control	生物的防除
biological nitrogen fixation	生物的窒素固定
biological yield	生物収量
biomass accumulation	バイオマス蓄積
biomass allocation	バイオマス分配
biomass partitioning	バイオマス分配
biomass sensing	バイオマスセンシング
biosafety	バイオセーフティ
biosecurity	バイオセキュリティ
biotic stress	生物的ストレス
blast disease	いもち病
blockchain technology	ブロックチェーン技術
booting stage	穂ばらみ期
border effect	境界効果
bordering	畦畔
bottom dressing	追肥
branching	分枝
breaking dormancy	休眠打破
breeding	育種
breeding population	育種集団
breeding value	育種価
brown planthopper	トビイロウンカ
bulk breeding	集団育種法
bulk density	容積重
bunch type	房型
bunching	分げつ
calcium deficiency	カルシウム欠乏
calcium signaling	カルシウムシグナリング
calvin cycle	カルビン回路
cam pathway	CAM経路
canopy	群落
canopy architecture	群落構造
canopy cover	群落被覆
canopy development	群落発達
canopy light interception	群落光遮断
canopy photosynthesis	群落光合成
canopy sensing	キャノピーセンシング
canopy structure	群落構造
carbon allocation	炭素分配
carbon allocation pattern	炭素分配パターン
carbon fixation	炭素固定
carbon isotope discrimination	炭素同位体分別
carbon sequestration	炭素隔離
carbon use efficiency	炭素利用効率
carbon-nitrogen balance	炭素・窒素バランス
cash crop	換金作物
cell cycle regulation	細胞周期制御
cell differentiation	細胞分化
cell division control	細胞分裂制御
cell elongation	細胞伸長
cell polarity	細胞極性
cell wall extensibility	細胞壁伸展性
cell wall modification	細胞壁修飾
cellular energy balance	細胞エネルギー収支
cellular homeostasis	細胞恒常性
cellular stress response	細胞ストレス応答
center of origin	起源地
certified seed	認証種子
chalky grain	白未熟粒
chemical fertilizer	化学肥料
chlorophyll content	クロロフィル含量
chlorophyll fluorescence	クロロフィル蛍光
chlorosis	黄化症
chromatin remodeling	クロマチン再構成
circadian rhythm	概日リズム
cisgenesis	シスジェネシス
climate change adaptation	気候変動適応
climate-smart agriculture	気候スマート農業
clonal propagation	クローン増殖
clonal selection	クローン選抜
cloud computing	クラウドコンピューティング
cluster analysis	クラスター分析
cold acclimation	低温順化
cold injury	冷害
cold resistance	耐冷性
cold storage	低温貯蔵
cold stress	低温ストレス
cold tolerance	耐寒性
combining ability	組合せ能力
community-supported agriculture	地域支援型農業
competition response	競争応答
compost	堆肥
conservation agriculture	保全農業
conservation tillage	保全耕作
constraints analysis	制限要因分析
consumptive use	消費水量
contour farming	等高線耕作
controlled atmosphere storage	制御気体貯蔵
controlled environment agriculture	環境制御型農業
conventional farming	慣行農業
cooking quality	炊飯品質
core collection	コアコレクション
correlation analysis	相関分析
cover cropping	被覆作物栽培
cracked grain	胴割粒
crop calendar	作物暦
crop coefficient	作物係数
crop density	栽植密度
crop development stage	作物発育段階
crop diversification	作物多様化
crop growth rate	作物成長速度
crop improvement	作物改良
crop load	着果負担
crop management	作物管理
crop modeling	作物モデリング
crop monitoring	作物モニタリング
crop phenology	作物生育相
crop phenotyping	作物フェノタイピング
crop protection	作物保護
crop residue management	作物残渣管理
crop response	作物反応
crop rotation	輪作
crop scouting	作物観察
crop season	作期
crop simulation	作物シミュレーション
crop water requirement	作物必要水量
crop wild relatives	作物の野生近縁種
crop-soil interaction	作物-土壌相互作用
cropping intensity	作付け強度
cropping pattern	作付様式
cropping system	作付体系
cross pollination	他家受粉
cross protection	交差防御
cross-compatibility	交雑親和性
cultivation	栽培
cultivated area	作付面積
cultivar	品種
culm strength	稈強度
culm wall thickness	稈壁厚
critical growth stage	重要生育期
damage assessment	被害評価
dark respiration	暗呼吸
data mining	データマイニング
days to heading	出穂日数
days to maturity	成熟日数
dead heart	心枯れ
decision support system	意思決定支援システム
deep learning	深層学習
deep planting	深播
deep water rice	深水稲
deficiency symptoms	欠乏症状
degree day	有効積算温度
dehiscence	裂開
dense planting	密植
desertification	砂漠化
desiccation tolerance	乾燥耐性
deterioration	品質劣化
determinate growth	有限成長
determinacy	決定性
development rate	発育速度
developmental phase	発育相
developmental phase transition	発達相転換
developmental stages	発育段階
digital agriculture	デジタル農業
digital farming	デジタル農業
digital twin	デジタルツイン
direct seeding	直播
disease assessment	病害評価
disease cycle	病害サイクル
disease escape	病害回避
disease forecasting	病害予察
disease index	罹病度
disease resistance	耐病性
disease severity	発病度
dispersal	分散
dna marker	DNAマーカー
dna methylation	DNAメチル化
domestication	栽培化
dormancy	休眠
dormancy breaking	休眠打破
double cropping	二毛作
doubled haploid	倍加半数体
drainage	排水
drought avoidance	乾燥回避
drought escape	乾燥逃避
drought hardening	乾燥馴化
drought index	乾燥指数
drought injury	干害
drought resistance	耐乾性
drought stress	乾燥ストレス
drought susceptibility	乾燥感受性
drought tolerance	耐乾性
dry farming	畑作
dry matter accumulation	乾物蓄積
dry matter content	乾物率
dry matter distribution	乾物分配
dry matter partitioning	乾物分配
drying rate	乾燥速度
early maturity	早熟性
early warning system	早期警戒システム
eating quality	食味
ecological adaptation	生態適応
ecological interaction	生態学的相互作用
ecosystem resilience	生態系レジリエンス
ecosystem service	生態系サービス
ecotype	生態型
edge computing	エッジコンピューティング
